TT,Danh_Gia,Chat_Luong_Tai_Xe,Thoi_Gian_vs_Du_Kien
346,satisfied,1,-11.5625
347,satisfied,1,-11.5625
348,satisfied,1,-11.5625
349,satisfied,7,-11.5625
350,satisfied,7,-11.5625
351,satisfied,1,-16.5625
352,satisfied,1,-14.53125
353,satisfied,1,-11.5625
354,satisfied,1,-10.78125
355,satisfied,3,-12.8125
356,satisfied,1,-12.65625
357,satisfied,1,-12.8125
358,satisfied,1,-11.5625
359,satisfied,5,-11.09375
360,satisfied,3,-11.5625
361,satisfied,1,-11.5625
362,satisfied,1,-11.5625
363,satisfied,6,-13.28125
364,satisfied,5,-11.5625
365,satisfied,1,-14.0625
366,satisfied,4,-11.5625
367,satisfied,3,-11.5625
368,satisfied,1,-11.5625
369,satisfied,1,-11.71875
370,satisfied,6,-11.09375
371,satisfied,1,-11.5625
372,satisfied,4,-11.5625
373,satisfied,1,-12.1875
374,satisfied,5,-10.625
375,satisfied,5,-11.5625
376,satisfied,1,-11.5625
377,satisfied,1,-10.0
378,satisfied,7,-12.34375
379,satisfied,3,-12.5
380,satisfied,1,-12.03125
381,satisfied,1,-11.5625
382,satisfied,1,-11.40625
383,satisfied,1,-11.5625
384,satisfied,1,-11.5625
385,satisfied,1,-11.5625
386,satisfied,1,-11.25
387,satisfied,4,-11.40625
388,satisfied,1,-10.78125
389,satisfied,1,-13.28125
390,satisfied,7,-11.5625
391,satisfied,1,-3.4375
392,satisfied,6,-11.5625
393,satisfied,1,-11.5625
394,satisfied,1,-11.5625
395,satisfied,1,-13.125
396,satisfied,6,-13.59375
397,satisfied,1,-6.875
398,satisfied,1,-11.40625
399,satisfied,7,-11.5625
400,satisfied,1,-11.5625
401,satisfied,1,-9.0625
402,satisfied,1,-11.5625
403,satisfied,1,-13.125
404,satisfied,1,-11.5625
405,satisfied,1,-11.71875
406,satisfied,1,-11.5625
407,satisfied,1,-11.5625
408,satisfied,1,-11.5625
409,satisfied,1,-11.5625
410,satisfied,1,-12.34375
411,satisfied,1,-11.5625
412,satisfied,1,-11.5625
413,satisfied,1,-12.5
414,satisfied,1,-11.5625
415,satisfied,1,-11.5625
416,satisfied,1,-11.5625
417,satisfied,4,-12.03125
418,satisfied,1,-12.8125
419,satisfied,1,-10.9375
420,satisfied,1,-11.5625
421,satisfied,1,-11.5625
422,satisfied,1,-11.5625
423,satisfied,1,-11.5625
424,satisfied,6,-10.625
425,satisfied,1,-11.5625
426,satisfied,1,-9.6875
427,satisfied,1,-11.5625
428,satisfied,1,-11.5625
429,satisfied,1,-11.875
430,satisfied,1,-11.5625
431,satisfied,1,-11.40625
432,satisfied,1,-11.5625
433,satisfied,1,-11.875
434,satisfied,1,-10.78125
435,satisfied,3,-11.5625
436,satisfied,1,-11.25
437,satisfied,1,-11.5625
438,satisfied,2,-10.46875
439,satisfied,1,-11.5625
440,satisfied,1,-11.5625
441,satisfied,1,-11.5625
442,satisfied,1,-11.5625
443,satisfied,7,-11.25
444,satisfied,3,-11.5625
445,satisfied,1,-11.5625
446,satisfied,1,-11.5625
447,satisfied,1,-11.5625
448,satisfied,5,-11.40625
449,satisfied,3,-11.5625
450,satisfied,1,-12.65625
451,satisfied,4,-11.5625
452,satisfied,1,-11.71875
453,satisfied,3,-11.5625
454,satisfied,1,-8.75
455,satisfied,1,-11.5625
456,satisfied,5,-11.5625
457,satisfied,1,-11.5625
458,satisfied,5,-10.9375
459,satisfied,1,-11.40625
460,satisfied,2,-1.5625
461,satisfied,5,-10.3125
462,satisfied,4,-10.625
463,satisfied,1,-11.5625
464,satisfied,1,-11.5625
465,satisfied,1,-9.21875
466,satisfied,1,-11.5625
467,satisfied,6,-11.5625
468,satisfied,6,-11.5625
469,satisfied,1,-11.5625
470,satisfied,1,-11.71875
471,satisfied,6,-11.5625
472,satisfied,1,-11.875
473,satisfied,1,-11.5625
474,satisfied,3,-12.1875
475,satisfied,1,-11.5625
476,satisfied,1,-11.25
477,satisfied,1,-11.5625
478,satisfied,1,-13.75
479,satisfied,1,-13.4375
480,satisfied,3,-14.0625
481,satisfied,5,-11.5625
482,satisfied,1,-11.71875
483,satisfied,1,-11.5625
484,satisfied,1,-11.5625
485,satisfied,6,-11.5625
486,satisfied,1,-11.5625
487,satisfied,6,-11.5625
488,satisfied,1,-11.5625
489,satisfied,1,-11.5625
490,satisfied,5,-11.5625
491,satisfied,1,-13.4375
492,satisfied,1,-12.03125
493,satisfied,1,-11.5625
494,satisfied,5,-13.4375
495,satisfied,1,-11.5625
496,satisfied,1,-11.5625
497,satisfied,5,-11.5625
498,satisfied,1,-11.5625
499,satisfied,1,-11.5625
500,satisfied,1,-11.5625
501,satisfied,1,-11.5625
502,satisfied,1,-11.5625
503,satisfied,1,-11.5625
504,satisfied,5,-11.5625
505,satisfied,1,-9.375
506,satisfied,1,-12.65625
507,satisfied,7,-12.1875
508,satisfied,1,-11.5625
